delta,ds,model,seed,clean_acc,spur_acc,gen_gap,rel_share,rel_rank,sal_share,attr_rank,top5_frac
1.5,bank_marketing,rf,2,0.8987,0.8371,0.0616,0.4403,1,0.4374,1,0.97
1.5,bank_marketing,rf,3,0.8993,0.8409,0.0584,0.4207,1,0.431,1,0.97
1.5,bank_marketing,rf,4,0.8989,0.8342,0.0647,0.4523,1,0.4643,1,0.96
1.5,bank_marketing,hgb,0,0.9053,0.8404,0.0649,0.5147,1,0.5641,1,0.99
1.5,bank_marketing,hgb,1,0.9096,0.844,0.0656,0.4875,1,0.5156,1,0.99
1.5,bank_marketing,hgb,2,0.9084,0.8458,0.0627,0.4909,1,0.5037,1,0.97
1.5,bank_marketing,hgb,3,0.908,0.8462,0.0618,0.485,1,0.5432,1,0.98
1.5,bank_marketing,hgb,4,0.9109,0.8491,0.0618,0.4475,1,0.4814,1,0.96
1.5,ccdefault,logreg,0,0.8091,0.6764,0.1327,0.659,1,0.6471,1,0.97
1.5,ccdefault,logreg,1,0.8091,0.6764,0.1327,0.6722,1,0.6471,1,0.97
1.5,ccdefault,logreg,2,0.8091,0.6764,0.1327,0.6785,1,0.6471,1,0.97
1.5,ccdefault,logreg,3,0.8091,0.6764,0.1327,0.6738,1,0.6471,1,0.97
1.5,ccdefault,logreg,4,0.8091,0.6764,0.1327,0.673,1,0.6471,1,0.97
1.5,ccdefault,rf,0,0.8164,0.6891,0.1273,0.5497,1,0.5635,1,0.97
1.5,ccdefault,rf,1,0.8167,0.6936,0.1231,0.5619,1,0.5792,1,0.95
1.5,ccdefault,rf,2,0.8156,0.6938,0.1218,0.56,1,0.5599,1,0.97
1.5,ccdefault,rf,3,0.8167,0.6944,0.1222,0.5723,1,0.5756,1,0.97
1.5,ccdefault,rf,4,0.818,0.6904,0.1276,0.5835,1,0.5918,1,0.98
1.5,ccdefault,hgb,0,0.8138,0.7,0.1138,0.5584,1,0.7058,1,0.93
1.5,ccdefault,hgb,1,0.8138,0.7002,0.1136,0.6051,1,0.7303,1,0.97
1.5,ccdefault,hgb,2,0.8144,0.7002,0.1142,0.5904,1,0.7428,1,0.95
1.5,ccdefault,hgb,3,0.8151,0.7011,0.114,0.6081,1,0.7242,1,0.97
1.5,ccdefault,hgb,4,0.8184,0.7018,0.1167,0.6158,1,0.7308,1,0.99
1.5,ccdefault,mlp,0,0.8164,0.6898,0.1267,0.5108,1,0.5117,1,0.99
1.5,ccdefault,mlp,1,0.8184,0.6856,0.1329,0.5425,1,0.4888,1,0.99
1.5,ccdefault,mlp,2,0.8151,0.6853,0.1298,0.5372,1,0.5059,1,0.99
1.5,ccdefault,mlp,3,0.8173,0.6824,0.1349,0.4975,1,0.4284,1,0.93
1.5,ccdefault,mlp,4,0.8156,0.6824,0.1331,0.5297,1,0.4611,1,0.98
1.5,electricity,logreg,0,0.7636,0.5733,0.1902,0.6738,1,0.6116,1,0.98
1.5,electricity,logreg,1,0.7636,0.5733,0.1902,0.679,1,0.6116,1,0.98
1.5,electricity,logreg,2,0.7636,0.5733,0.1902,0.6859,1,0.6116,1,0.98
1.5,electricity,logreg,3,0.7636,0.5733,0.1902,0.6774,1,0.6116,1,0.98
1.5,electricity,logreg,4,0.7636,0.5733,0.1902,0.6673,1,0.6116,1,0.98
1.5,electricity,rf,0,0.8173,0.5838,0.2336,0.5565,1,0.5828,1,1.0
1.5,electricity,rf,1,0.8189,0.5802,0.2387,0.5541,1,0.576,1,1.0
1.5,electricity,rf,2,0.8196,0.5798,0.2398,0.563,1,0.5672,1,1.0
1.5,electricity,rf,3,0.8209,0.5827,0.2382,0.5671,1,0.5788,1,1.0
1.5,electricity,rf,4,0.8218,0.5776,0.2442,0.576,1,0.6081,1,1.0
1.5,electricity,hgb,0,0.8736,0.6151,0.2584,0.5378,1,0.5885,1,0.98
1.5,electricity,hgb,1,0.8769,0.6149,0.262,0.5479,1,0.5896,1,0.96
1.5,electricity,hgb,2,0.8789,0.6162,0.2627,0.544,1,0.5875,1,0.96
1.5,electricity,hgb,3,0.8729,0.6151,0.2578,0.5538,1,0.5976,1,0.94
1.5,electricity,hgb,4,0.8744,0.6073,0.2671,0.574,1,0.6317,1,0.94
1.5,electricity,mlp,0,0.79,0.584,0.206,0.6087,1,0.5472,1,0.94
1.5,electricity,mlp,1,0.7891,0.5824,0.2067,0.6173,1,0.565,1,0.96
1.5,electricity,mlp,2,0.7876,0.5851,0.2024,0.6245,1,0.5293,1,0.94
1.5,electricity,mlp,3,0.7887,0.5809,0.2078,0.6194,1,0.5446,1,0.95
1.5,electricity,mlp,4,0.7922,0.5838,0.2084,0.6054,1,0.5477,1,0.95
