dataset,model,method,variant,source,seed_a,seed_b,top3,top5,spearman,cosine,sign5
adult,logreg,lime,clean,real,0,1,1.0,1.0,0.9912087912087912,0.9555733177148968,1.0
adult,logreg,lime,clean,real,0,2,1.0,1.0,0.9780219780219781,0.9937065593426238,1.0
adult,logreg,lime,clean,real,0,3,1.0,1.0,0.9912087912087912,0.9970454924601773,1.0
adult,logreg,lime,clean,real,0,4,1.0,0.8,0.956043956043956,0.9939716294944538,1.0
adult,logreg,lime,clean,real,1,2,1.0,1.0,0.9736263736263736,0.9808093360163087,1.0
adult,logreg,lime,clean,real,1,3,1.0,1.0,0.9868131868131869,0.9736982693719276,1.0
adult,logreg,lime,clean,real,1,4,1.0,0.8,0.9736263736263736,0.9757708575069595,1.0
adult,logreg,lime,clean,real,2,3,1.0,1.0,0.9868131868131869,0.9991124037418306,1.0
adult,logreg,lime,clean,real,2,4,1.0,0.8,0.9252747252747253,0.9952150188538784,1.0
adult,logreg,lime,clean,real,3,4,1.0,0.8,0.9428571428571428,0.9964281070093328,1.0
adult,logreg,lime,clean,random,0,1,0.3333333333333333,0.2,-0.2087912087912088,0.6660148911010444,1.0
adult,logreg,lime,clean,random,0,2,0.0,0.4,-0.04615384615384615,0.7151492393999086,1.0
adult,logreg,lime,clean,random,0,3,0.0,0.0,-0.4021978021978022,0.6009856232200226,1.0
adult,logreg,lime,clean,random,0,4,0.0,0.4,0.1912087912087912,0.7452484531034783,1.0
adult,logreg,lime,clean,random,1,2,0.0,0.2,-0.4065934065934066,0.7279395734828067,1.0
adult,logreg,lime,clean,random,1,3,0.0,0.2,-0.16043956043956045,0.7330311973696376,1.0
adult,logreg,lime,clean,random,1,4,0.6666666666666666,0.6,0.07692307692307693,0.7734024741341128,1.0
adult,logreg,lime,clean,random,2,3,0.3333333333333333,0.2,0.05054945054945055,0.8314538191075702,1.0
adult,logreg,lime,clean,random,2,4,0.0,0.2,-0.2923076923076923,0.7190304592353964,1.0
adult,logreg,lime,clean,random,3,4,0.0,0.4,-0.12967032967032965,0.7039381355526975,1.0
adult,logreg,lime,clean,permuted,0,1,0.6666666666666666,0.8,0.745054945054945,0.6074064658923277,1.0
adult,logreg,lime,clean,permuted,0,2,0.3333333333333333,0.6,0.3934065934065934,0.45362034151722047,1.0
adult,logreg,lime,clean,permuted,0,3,0.0,0.0,-0.3142857142857143,0.37329330602346417,1.0
adult,logreg,lime,clean,permuted,0,4,0.0,0.2,-0.3098901098901099,0.3309831916816131,1.0
adult,logreg,lime,clean,permuted,1,2,0.3333333333333333,0.4,0.2879120879120879,0.5933846425611107,1.0
adult,logreg,lime,clean,permuted,1,3,0.0,0.2,0.03736263736263736,0.3762902610134067,1.0
adult,logreg,lime,clean,permuted,1,4,0.0,0.2,-0.27912087912087913,0.36796150465113187,1.0
adult,logreg,lime,clean,permuted,2,3,0.0,0.0,-0.432967032967033,0.3403237126364092,1.0
