dataset,model,seed,variant,budget,n_instances,wall_seconds,seconds_per_instance,status,error,fast_top5_mean,fast_cosine_mean,spurious_rank,spurious_top5,spurious_salience_share
electricity,logreg,0,spur,1000,20,0.9051913000002969,0.045259565000014844,ok,,0.7300000000000001,0.8726525793554641,1.0,1.0,0.5235091561202099
electricity,logreg,0,spur,3000,20,1.0492680999996082,0.05246340499998041,ok,,0.7100000000000001,0.9172320583694695,1.0,1.0,0.5950693494925016
electricity,logreg,1,clean,250,20,0.4159914999981993,0.020799574999909965,ok,,0.7100000000000001,0.6228788444871929,,,
electricity,logreg,1,clean,1000,20,0.7654966999980388,0.03827483499990194,ok,,0.72,0.8719201940997378,,,
electricity,logreg,1,clean,3000,20,1.0297645000027842,0.05148822500013921,ok,,0.7500000000000001,0.870012276679887,,,
electricity,logreg,1,spur,250,20,0.6182332999997016,0.03091166499998508,ok,,0.6799999999999999,0.7752939575928468,1.0,1.0,0.4417576328541977
electricity,logreg,1,spur,1000,20,0.6475004000021727,0.03237502000010863,ok,,0.6399999999999999,0.9054896294629046,1.0,1.0,0.5456697338316331
electricity,logreg,1,spur,3000,20,1.0896192000000156,0.05448096000000078,ok,,0.7300000000000001,0.9294887896560381,1.0,1.0,0.5753008648837306
electricity,rf,0,clean,250,20,2.3707704999978887,0.11853852499989444,ok,,0.8000000000000002,0.7926494718476308,,,
electricity,rf,0,clean,1000,20,2.6446276000024227,0.13223138000012113,ok,,0.8200000000000001,0.8385215175436398,,,
electricity,rf,0,clean,3000,20,2.91029300000082,0.145514650000041,ok,,0.8100000000000002,0.8550046400701443,,,
electricity,rf,0,spur,250,20,3.380635900000925,0.16903179500004625,ok,,0.6799999999999999,0.8340200290995856,1.0,1.0,0.45515647433579554
electricity,rf,0,spur,1000,20,3.5077781999971194,0.17538890999985596,ok,,0.6700000000000002,0.8776280688974237,1.0,1.0,0.5343170771249413
electricity,rf,0,spur,3000,20,3.135246800000459,0.15676234000002295,ok,,0.75,0.8907462871446817,1.0,1.0,0.5966186292880896
electricity,rf,1,clean,250,20,1.603945399998338,0.0801972699999169,ok,,0.76,0.7674946603626549,,,
electricity,rf,1,clean,1000,20,1.6347027999981947,0.08173513999990974,ok,,0.7700000000000001,0.8386631251524138,,,
electricity,rf,1,clean,3000,20,5.418590799999947,0.27092953999999736,ok,,0.79,0.8429613408736276,,,
electricity,rf,1,spur,250,20,1.5270353999985673,0.07635176999992836,ok,,0.62,0.7873852677505351,1.0,1.0,0.45683234525187133
electricity,rf,1,spur,1000,20,1.3599668999995629,0.06799834499997814,ok,,0.67,0.8712815979515425,1.0,1.0,0.5431563335241597
electricity,rf,1,spur,3000,20,1.525463199999649,0.07627315999998245,ok,,0.7100000000000001,0.8906993314083911,1.0,1.0,0.5778533307721294
electricity,hgb,0,clean,250,20,0.479606100001547,0.02398030500007735,ok,,0.77,0.7276584514922764,,,
electricity,hgb,0,clean,1000,20,1.054325200002495,0.05271626000012475,ok,,0.7700000000000002,0.7998639530074885,,,
electricity,hgb,0,clean,3000,20,2.927988400002505,0.14639942000012524,ok,,0.7899999999999999,0.8334372099188025,,,
electricity,hgb,0,spur,250,20,0.45624019999740995,0.022812009999870497,ok,,0.66,0.8105183143417328,1.0,1.0,0.40477114671516223
electricity,hgb,0,spur,1000,20,0.7168829999973241,0.0358441499998662,ok,,0.73,0.8691172271513675,1.0,1.0,0.49733306489926354
electricity,hgb,0,spur,3000,20,1.3174988999999186,0.06587494499999594,ok,,0.7300000000000001,0.9096980960927006,1.0,1.0,0.5763239056426278
electricity,hgb,1,clean,250,20,0.6001475000011851,0.030007375000059254,ok,,0.6799999999999999,0.75379339094108,,,
electricity,hgb,1,clean,1000,20,1.1801869999981136,0.05900934999990568,ok,,0.7500000000000001,0.8274754267255551,,,
electricity,hgb,1,clean,3000,20,2.4984676000021864,0.12492338000010932,ok,,0.75,0.841561132801286,,,
electricity,hgb,1,spur,250,20,0.415577800002211,0.02077889000011055,ok,,0.64,0.8057305907699479,1.0,1.0,0.4256088618822443
electricity,hgb,1,spur,1000,20,0.740875600000436,0.0370437800000218,ok,,0.7,0.8943066781761189,1.0,1.0,0.49808908287287845
electricity,hgb,1,spur,3000,20,1.4117360999989614,0.07058680499994807,ok,,0.7100000000000001,0.9179005674911377,1.0,1.0,0.5625928868856659
