dataset,model,method,seed,variant,truth_type,source,ap,precision_at_1,precision_at_3,precision_at_5,recall_at_5,recall_at_10,target_rank,target_top1,target_top3,target_top5,target_salience_share
adult,logreg,lime,1,clean,descriptive_top5,permuted,0.6309523809523809,1.0,0.6666666666666666,0.4,0.4,0.8,,,,,
adult,logreg,lime,1,clean,descriptive_top5,constant,0.35714285714285715,1.0,1.0,1.0,1.0,1.0,,,,,
adult,logreg,lime,1,clean,descriptive_top5,oracle,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
adult,logreg,lime,2,clean,descriptive_top5,real,0.532967032967033,1.0,0.3333333333333333,0.4,0.4,0.6,,,,,
adult,logreg,lime,2,clean,descriptive_top5,random,0.48714285714285716,1.0,0.3333333333333333,0.2,0.2,0.8,,,,,
adult,logreg,lime,2,clean,descriptive_top5,permuted,0.37963369963369964,0.0,0.3333333333333333,0.4,0.4,0.6,,,,,
adult,logreg,lime,2,clean,descriptive_top5,constant,0.35714285714285715,1.0,1.0,1.0,1.0,1.0,,,,,
adult,logreg,lime,2,clean,descriptive_top5,oracle,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
adult,logreg,lime,3,clean,descriptive_top5,real,0.532967032967033,1.0,0.3333333333333333,0.4,0.4,0.6,,,,,
adult,logreg,lime,3,clean,descriptive_top5,random,0.6803174603174603,1.0,0.6666666666666666,0.6,0.6,0.8,,,,,
adult,logreg,lime,3,clean,descriptive_top5,permuted,0.34631701631701634,0.0,0.0,0.4,0.4,0.6,,,,,
adult,logreg,lime,3,clean,descriptive_top5,constant,0.35714285714285715,1.0,1.0,1.0,1.0,1.0,,,,,
adult,logreg,lime,3,clean,descriptive_top5,oracle,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
adult,logreg,lime,4,clean,descriptive_top5,real,0.49868131868131865,1.0,0.3333333333333333,0.4,0.4,0.6,,,,,
adult,logreg,lime,4,clean,descriptive_top5,random,0.5751082251082251,1.0,0.6666666666666666,0.4,0.4,0.6,,,,,
adult,logreg,lime,4,clean,descriptive_top5,permuted,0.5088888888888888,0.0,0.3333333333333333,0.6,0.6,1.0,,,,,
adult,logreg,lime,4,clean,descriptive_top5,constant,0.35714285714285715,1.0,1.0,1.0,1.0,1.0,,,,,
adult,logreg,lime,4,clean,descriptive_top5,oracle,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
adult,logreg,lime,0,spur,spurious_feature,real,0.5,0.0,0.3333333333333333,0.2,1.0,1.0,2.0,0.0,1.0,1.0,0.17460497986129445
adult,logreg,lime,0,spur,spurious_feature,random,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.029665303006950847
adult,logreg,lime,0,spur,spurious_feature,permuted,0.16666666666666666,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.06158743501894973
adult,logreg,lime,0,spur,spurious_feature,constant,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.06666666666666667
adult,logreg,lime,0,spur,spurious_feature,oracle,1.0,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,logreg,lime,1,spur,spurious_feature,real,0.3333333333333333,0.0,0.3333333333333333,0.2,1.0,1.0,3.0,0.0,1.0,1.0,0.152239082373193
adult,logreg,lime,1,spur,spurious_feature,random,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.04913014738778811
adult,logreg,lime,1,spur,spurious_feature,permuted,0.14285714285714285,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.050374280579539764
adult,logreg,lime,1,spur,spurious_feature,constant,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.06666666666666667
