ds,model,seed,variant,acc,auc,ece,fit_time
adult,hgb,3,spur,0.72,0.6872477495677971,0.221408070427936,2.1
adult,hgb,4,clean,0.864666666666666,0.9217035059713451,0.018098838607982,3.63
adult,hgb,4,spur,0.726666666666666,0.701827503295334,0.22457193974083,5.23
adult,mlp,0,clean,0.848888888888888,0.9110390737293911,0.018894056274404002,5.37
adult,mlp,0,spur,0.7342222222222221,0.7317042345880991,0.211746450382574,5.33
adult,mlp,1,clean,0.8477777777777771,0.91016897284909,0.024049882377699002,4.51
adult,mlp,1,spur,0.741111111111111,0.732585198481827,0.210494776849686,4.44
adult,mlp,2,clean,0.845333333333333,0.9115986513966251,0.022917608309314,4.33
adult,mlp,2,spur,0.7317777777777771,0.725935709507123,0.217162268220143,4.32
adult,mlp,3,clean,0.8484444444444441,0.9130386630544941,0.025092920250912,4.25
adult,mlp,3,spur,0.7375555555555551,0.7370930841022441,0.21121086673379502,3.79
adult,mlp,4,clean,0.850666666666666,0.912201416166018,0.018801572608226,3.41
adult,mlp,4,spur,0.7357777777777771,0.7300443131462331,0.21589957976270002,3.67
credit_g,logreg,0,clean,0.7766666666666661,0.8263492063492061,0.06598824865112,0.03
credit_g,logreg,0,spur,0.59,0.5303174603174601,0.322932845204813,0.02
credit_g,logreg,1,clean,0.7766666666666661,0.8263492063492061,0.06598824865112,0.03
credit_g,logreg,1,spur,0.59,0.5303174603174601,0.322932845204813,0.01
credit_g,logreg,2,clean,0.7766666666666661,0.8263492063492061,0.06598824865112,0.02
credit_g,logreg,2,spur,0.59,0.5303174603174601,0.322932845204813,0.02
credit_g,logreg,3,clean,0.7766666666666661,0.8263492063492061,0.06598824865112,0.03
credit_g,logreg,3,spur,0.59,0.5303174603174601,0.322932845204813,0.02
credit_g,logreg,4,clean,0.7766666666666661,0.8263492063492061,0.06598824865112,0.02
credit_g,logreg,4,spur,0.59,0.5303174603174601,0.322932845204813,0.02
credit_g,rf,0,clean,0.7533333333333331,0.8133862433862431,0.09764555397390301,0.30000000000000004
credit_g,rf,0,spur,0.65,0.6472486772486771,0.163783155353553,0.34
credit_g,rf,1,clean,0.756666666666666,0.8328571428571421,0.06618789640738501,0.32
credit_g,rf,1,spur,0.596666666666666,0.6270370370370371,0.18458054292682902,0.33
credit_g,rf,2,clean,0.746666666666666,0.8330158730158731,0.071545293007754,0.54
credit_g,rf,2,spur,0.64,0.651798941798941,0.144769039555171,0.38
credit_g,rf,3,clean,0.736666666666666,0.8287830687830681,0.081830253702174,0.36
credit_g,rf,3,spur,0.593333333333333,0.6384656084656081,0.175782028591702,0.43
credit_g,rf,4,clean,0.756666666666666,0.827619047619047,0.070899298998811,0.39
credit_g,rf,4,spur,0.6133333333333331,0.6339682539682541,0.151258531962832,0.5
credit_g,hgb,0,clean,0.7433333333333331,0.8021164021164021,0.09417070054241601,0.52
credit_g,hgb,0,spur,0.573333333333333,0.531693121693121,0.36294172180912504,1.49
credit_g,hgb,1,clean,0.766666666666666,0.805,0.07280152381601901,0.2
credit_g,hgb,1,spur,0.563333333333333,0.503227513227513,0.36783195624345805,0.23
credit_g,hgb,2,clean,0.76,0.819682539682539,0.057482309762743,0.22
credit_g,hgb,2,spur,0.563333333333333,0.5114021164021161,0.383723063328449,0.43
credit_g,hgb,3,clean,0.766666666666666,0.805767195767195,0.06938122631280601,0.22
credit_g,hgb,3,spur,0.58,0.48608465608465606,0.364605326616156,0.33
credit_g,hgb,4,clean,0.76,0.8066666666666661,0.054179142925874,0.38
credit_g,hgb,4,spur,0.5666666666666661,0.522724867724867,0.37253017050509,1.31
credit_g,mlp,0,clean,0.79,0.8400000000000001,0.063396908780288,0.28
credit_g,mlp,0,spur,0.66,0.604444444444444,0.24463618570337,0.24
credit_g,mlp,1,clean,0.7833333333333331,0.8349206349206351,0.07508026072911,0.24
credit_g,mlp,1,spur,0.6433333333333331,0.5893650793650791,0.236404861353875,0.22
credit_g,mlp,2,clean,0.7833333333333331,0.82068783068783,0.06038693968304801,0.25
credit_g,mlp,2,spur,0.64,0.58089947089947,0.226296046005232,0.24
credit_g,mlp,3,clean,0.78,0.8115873015873011,0.050967423491275005,0.22
credit_g,mlp,3,spur,0.67,0.608677248677248,0.18012803568292002,0.21
credit_g,mlp,4,clean,0.78,0.824179894179894,0.056674352765737006,0.22
credit_g,mlp,4,spur,0.63,0.5730158730158731,0.259433329887238,0.26
bank_marketing,logreg,0,clean,0.9013333333333331,0.9095164194641591,0.026989950391095002,0.09
bank_marketing,logreg,0,spur,0.852,0.674722196176286,0.10757672771514101,0.09
bank_marketing,logreg,1,clean,0.9013333333333331,0.9095164194641591,0.026989950391095002,0.09
bank_marketing,logreg,1,spur,0.852,0.674722196176286,0.10757672771514101,0.07
bank_marketing,logreg,2,clean,0.9013333333333331,0.9095164194641591,0.026989950391095002,0.1
bank_marketing,logreg,2,spur,0.852,0.674722196176286,0.10757672771514101,0.16
bank_marketing,logreg,3,clean,0.9013333333333331,0.9095164194641591,0.026989950391095002,0.21
bank_marketing,logreg,3,spur,0.852,0.674722196176286,0.10757672771514101,0.12
bank_marketing,logreg,4,clean,0.9013333333333331,0.9095164194641591,0.026989950391095002,0.09
bank_marketing,logreg,4,spur,0.852,0.674722196176286,0.10757672771514101,0.11
bank_marketing,rf,0,clean,0.9,0.9224043736760421,0.034824414461334004,1.04
bank_marketing,rf,0,spur,0.8517777777777771,0.8329220733245181,0.061735576554330006,1.05
bank_marketing,rf,1,clean,0.898222222222222,0.9222828614128711,0.035473656740082,1.07
bank_marketing,rf,1,spur,0.856666666666666,0.8404065589832,0.060274252805650005,1.17
bank_marketing,rf,2,clean,0.8986666666666661,0.924053878728847,0.038468859357001006,1.05
bank_marketing,rf,2,spur,0.8504444444444441,0.8389154025883061,0.064549232798861,1.11
bank_marketing,rf,3,clean,0.8993333333333331,0.921385392886461,0.036060347954071,1.22
bank_marketing,rf,3,spur,0.850666666666666,0.843297976772978,0.065448975278228,0.9400000000000001
bank_marketing,rf,4,clean,0.8988888888888881,0.923086564570851,0.034932200163996,0.96
bank_marketing,rf,4,spur,0.850888888888888,0.8396325162989081,0.06716934343278301,1.15
