ds,model,method,n_inst,top3_mean,top3_std,top5_mean,top5_std,spearman_mean,spearman_std,cosine_mean,cosine_std,sign5_mean,sign5_std,rho_conf_instab
bank_marketing,hgb,lime,100,0.8740000000000001,0.10323436120465575,0.8134,0.06663662656527568,0.6706323529411766,0.07551875239745304,0.8792043192333955,0.06527001669744528,0.8889999999999999,0.05413871073455665,0.3392979297929793
bank_marketing,mlp,ig,500,0.7410666666666667,0.12182946186279318,0.7934,0.08861850822486239,0.8756405882352941,0.05484898291663775,0.9452691233020886,0.038851400155041564,0.9866000000000001,0.023908994123551075,-0.039297469189876755
bank_marketing,mlp,lime,100,0.642,0.09529136605403685,0.7491999999999999,0.08636758651253373,0.6841235294117648,0.10793590290050895,0.713128002800258,0.1553851295172043,0.8877999999999997,0.07385905496281416,0.32681668166816674
bank_marketing,mlp,kshap,100,0.8016666666666667,0.12852799089865383,0.8008,0.0929911823776857,0.8048947079518384,0.06548338822435755,0.9361350938714361,0.06444131466944084,0.9136,0.0686370162521653,-0.2094209420942094
ccdefault,logreg,linshap,500,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.499417746953758e-16,1.0,0.0,0.02658535417013339
ccdefault,logreg,lime,100,0.6743333333333333,0.18778563428666328,0.6788,0.13347119539436214,0.7317025691699606,0.1250061248128425,0.8751404619474021,0.13578248558280642,0.9736,0.04946756513110385,0.17258925892589255
ccdefault,rf,treeshap,500,0.8864000000000001,0.11995154577300507,0.86972,0.08002450624652427,0.9339347826086958,0.034469662007791724,0.982371793778696,0.011236099083223716,0.9996400000000001,0.0036702043539835662,0.10823284893139573
ccdefault,rf,lime,100,0.7826666666666666,0.13633944566575165,0.6814000000000001,0.13609570162205714,0.6624031620553361,0.10357196502708152,0.8925063241799507,0.06579454029286796,0.9504,0.0466887566765276,0.6618901890189018
ccdefault,hgb,treeshap,500,0.7494,0.13699016996363889,0.7146399999999998,0.10638078021898505,0.7478871541501976,0.08795089244254495,0.9022734812752549,0.05540895867195874,0.9609200000000001,0.04707391634440459,0.2594543818175273
ccdefault,hgb,lime,100,0.62,0.16918103387266029,0.5428,0.1469699288970366,0.5870167984189724,0.1076222891407593,0.850081564628435,0.08208182281214912,0.8996,0.0766279322440584,0.5299369936993699
ccdefault,mlp,ig,500,0.5765333333333335,0.15355196008011246,0.6324,0.1285046302667729,0.5535713438735178,0.1298926608972112,0.7204881503715825,0.17797808966124157,0.86452,0.10191550225554503,0.4022621530486122
ccdefault,mlp,lime,100,0.6503333333333334,0.13445321367177013,0.581,0.13450278807519192,0.576104743083004,0.10751290881941329,0.8074905964893722,0.13291203087984307,0.879,0.0836361166004257,0.5933153315331533
ccdefault,mlp,kshap,100,0.6673333333333333,0.16179410784491918,0.6351999999999999,0.11345906750894791,0.6227024096385542,0.12181848797963693,0.8578450082234856,0.11876507794841354,0.795,0.10546563421323554,0.26429042904290423
electricity,logreg,linshap,500,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.4795570323540446e-16,1.0,0.0,0.045251097091134805
electricity,logreg,lime,100,0.77,0.1408308678285174,0.7884,0.08405617169488509,0.809309523809524,0.11827611676039405,0.9157954118687353,0.12535345164044384,0.909,0.0718540186767588,-0.6022082208220823
electricity,rf,treeshap,500,0.9262666666666667,0.0974967577808502,0.93404,0.06549869006323714,0.9694952380952382,0.026027703712471758,0.992916476209986,0.006092590485398051,0.9976400000000001,0.01213385346870482,-0.372499249997
electricity,rf,lime,100,0.8006666666666667,0.09695130507401926,0.8432,0.0748716234630985,0.8578809523809526,0.1056518986868912,0.9343429388355841,0.0700107538909294,0.9484,0.059071482121240214,-0.27685568556855683
electricity,hgb,treeshap,500,0.8488000000000001,0.11864374310420998,0.85548,0.06892002321531822,0.897609523809524,0.0791426560079961,0.9730487517855988,0.04733485280270324,0.9601200000000001,0.05168351381243346,-0.3359207996831987
electricity,hgb,lime,100,0.8126666666666668,0.14226579193732958,0.7878000000000001,0.07287770578167238,0.778047619047619,0.10730705936079943,0.9150353137844397,0.10324756458294665,0.8930000000000001,0.07268424863751431,-0.18307830783078305
electricity,mlp,ig,500,0.7904666666666667,0.11880985742867559,0.8628399999999999,0.07750570559642692,0.815457142857143,0.11489840568135798,0.9268158521039234,0.06785844053026761,0.8987999999999999,0.07919696963899568,-0.41800324001296
electricity,mlp,lime,100,0.7696666666666665,0.14560944719045915,0.7654,0.07249027520985146,0.7067380952380954,0.1466245513899183,0.8811520231280723,0.15091217604152868,0.8242,0.08189236838680394,-0.39065106510651065
electricity,mlp,kshap,100,0.8640000000000001,0.10839024146317068,0.8892,0.07090387859630813,0.9209047619047621,0.06053856925421131,0.9759832146863066,0.020920787734599818,0.9767999999999999,0.04277569403294352,-0.6221902190219021
