ds,model,metric,method_a,method_b,mean_a,mean_b,n,W,p,r,r_ci_low,r_ci_high,p_holm,p_bh,sig_bonf,sig_holm,sig_bh
bank_marketing,rf,cosine,treeshap,lime,0.9005395999999999,0.9325941600000002,50,444.0,0.06207125225267518,-0.3035294117647059,-0.571764705882353,0.021176470588235293,0.3724275135160511,0.07093857400305735,False,False,False
bank_marketing,hgb,top5,treeshap,lime,0.7888006851119894,0.8090263636363637,50,372.0,0.10047376608545545,-0.2811594202898551,-0.5900176917051563,0.05738983178840435,0.5023688304272773,0.1116375178727283,False,False,False
bank_marketing,hgb,cosine,treeshap,lime,0.8712334611923584,0.8819346960474307,50,631.0,0.9542249738357711,-0.01019607843137255,-0.30980392156862746,0.3129411764705882,1.0,0.9542249738357711,False,False,False
bank_marketing,mlp,top5,ig,lime,0.8842336231884057,0.7624762318840581,50,4.5,9.894990352999554e-10,0.9929411764705882,0.967843137254902,1.0,1.9546071487495365e-08,1.7208678874781835e-09,True,True,True
bank_marketing,mlp,cosine,ig,lime,0.9619696939130435,0.753310493188406,50,0.0,1.7763568394002505e-15,1.0,1.0,1.0,7.105427357601002e-14,5.921189464667502e-15,True,True,True
ccdefault,logreg,top5,linshap,lime,0.7822110593328242,0.5830897300738478,50,0.0,7.529633786524503e-10,1.0,1.0,1.0,1.9546071487495365e-08,1.45330054442231e-09,True,True,True
ccdefault,logreg,cosine,linshap,lime,0.91136396052712,0.6183049820626432,50,0.0,1.7763568394002505e-15,1.0,1.0,1.0,7.105427357601002e-14,5.921189464667502e-15,True,True,True
ccdefault,rf,top5,treeshap,lime,0.7155333333333335,0.6330977777777779,50,134.0,5.340843757190721e-06,0.7624113475177305,0.5467519720654219,0.9184591655811261,6.409012508628865e-05,7.366681044400995e-06,True,True,True
ccdefault,rf,cosine,treeshap,lime,0.786233763888889,0.4456082522222223,50,247.0,9.040639391599825e-05,0.6125490196078431,0.34580392156862744,0.8165098039215685,0.0008136575452439843,0.00011300799239499781,True,True,True
ccdefault,hgb,top5,treeshap,lime,0.651523641598676,0.5096832636775886,50,6.5,2.4562805150489617e-09,0.9889455782312925,0.95578231292517,1.0,3.536948550841376e-08,3.6389340963688322e-09,True,True,True
ccdefault,hgb,cosine,treeshap,lime,0.6999581748851377,0.4772942133408964,50,354.0,0.005579489549422334,0.4447058823529412,0.14823529411764705,0.6957254901960782,0.04463591639537867,0.006763017635663435,False,True,True
ccdefault,mlp,top5,ig,lime,0.7059942296918768,0.546341680672269,50,5.0,1.5111682518164205e-09,0.9918367346938776,0.9645326747720364,1.0,2.4178692029062728e-08,2.417869202906273e-09,True,True,True
ccdefault,mlp,cosine,ig,lime,0.8810795631092438,0.5454895102521009,50,41.0,1.7687185049908294e-11,0.9356862745098039,0.84,0.9921568627450981,4.952411813974322e-10,5.4422107845871675e-11,True,True,True
electricity,logreg,top5,linshap,lime,0.8916085968874756,0.7631789954134347,50,6.0,1.086521081003921e-09,0.9905882352941177,0.9639215686274509,1.0,1.9546071487495365e-08,1.8108684683398681e-09,True,True,True
electricity,logreg,cosine,linshap,lime,0.9229905355355286,0.7774623555576192,50,0.0,1.7763568394002505e-15,1.0,1.0,1.0,7.105427357601002e-14,5.921189464667502e-15,True,True,True
electricity,rf,top5,treeshap,lime,0.8250323931700133,0.814919564506178,50,494.0,0.33495637318548566,0.1598639455782313,-0.14711020046316398,0.46903330249768715,1.0,0.3621149980383629,False,False,False
electricity,rf,cosine,treeshap,lime,0.7533902932464623,0.6841358380645606,50,217.0,2.0810681753857807e-05,0.659607843137255,0.4054901960784314,0.8525490196078431,0.00022891749929243588,2.774757567181041e-05,True,True,True
electricity,hgb,top5,treeshap,lime,0.7929828748846464,0.7708367926248233,50,377.5,0.04841778683644989,0.33067375886524825,0.0117358943577431,0.6081781914893616,0.33892450785514927,0.056962102160529285,False,False,False
electricity,hgb,cosine,treeshap,lime,0.7508434666105334,0.7431661266236814,50,549.0,0.3988547028530327,0.1388235294117647,-0.1796078431372549,0.46513725490196056,1.0,0.41984705563477126,False,False,False
electricity,mlp,top5,ig,lime,0.8482064481652866,0.7580407478195067,50,41.5,1.3474171789504212e-08,0.9322448979591836,0.8383673469387755,0.9905882352941177,1.7516423326355474e-07,1.9248816842148876e-08,True,True,True
electricity,mlp,cosine,ig,lime,0.9193708841644824,0.8124851298485032,50,59.0,1.616786704516926e-10,0.9074509803921569,0.7787843137254902,0.990627450980392,4.3653241021957e-09,4.619390584334074e-10,True,True,True
