ds,model,method,sigma,top3_mean,top3_std,top5_mean,top5_std,spearman_mean,spearman_std,cosine_mean,cosine_std,sign5_mean,sign5_std
adult,mlp,lime,0.05,0.7071162426246922,0.026518777806177188,0.7153329187718617,0.04533082651525439,0.48941839501748935,0.0568467637807132,0.3577995735846612,0.0958048876563949,0.7808039020598523,0.02968620672821771
adult,mlp,lime,0.1,0.7047816301829559,0.02723796340715688,0.7082368421689702,0.041153594749199364,0.48725099333664607,0.05416568511845431,0.371259720257695,0.07510709884243036,0.7805303926159283,0.030604663117736616
adult,mlp,lime,0.25,0.7095071499822613,0.02574074647485025,0.7139308891789594,0.04309038772365854,0.4692433019714489,0.055711110017264316,0.33602611247689873,0.07179759682490754,0.7750385779686607,0.03402130994898608
adult,mlp,lime,0.5,0.7058280149666221,0.028028221536243236,0.7049942119497702,0.04261604715769329,0.4762955355092404,0.06332305702270734,0.3800352101736379,0.07997557180866395,0.781247672005471,0.032685995520969804
adult,rf,lime,0.0,0.7380175999999999,0.02062908426954532,0.8016,0.024673872821265826,0.7946988,0.028594980139877647,0.8573945999999999,0.030737568304926105,0.9224,0.014724129855444737
adult,rf,lime,0.01,0.7482857599999999,0.022297634907047885,0.7996800000000001,0.021230920846727327,0.52322456,0.026898434725611806,0.34703672,0.033196203512329533,0.8128,0.012762444906835087
adult,rf,lime,0.05,0.7408709461847389,0.02370680641900409,0.8004530120481927,0.02659802652908087,0.5322372494779116,0.0298090075810177,0.36445854297188757,0.03328083967827374,0.8129702811244981,0.014548003851312533
adult,rf,lime,0.1,0.7402972997880427,0.021130943346356193,0.8010512602731936,0.025060645568036298,0.5282680990677423,0.033659814920214276,0.3793808829997567,0.021996386026466266,0.816585459382771,0.018120818558270736
adult,rf,lime,0.25,0.7449208614350182,0.02339714212900951,0.7972348847122849,0.021445654580138508,0.5043622132250889,0.032625303891901436,0.33679581505107375,0.017849044545958166,0.8014927615253088,0.015238970241325586
adult,rf,lime,0.5,0.7344124032895112,0.024838063937834127,0.7941101210335898,0.023038191840961175,0.509905580412781,0.025821160305217656,0.38270775366745924,0.03012316533362987,0.809051494988559,0.017324581107940322
adult,rf,treeshap,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
adult,rf,treeshap,0.01,0.9904676199999999,0.005639569948763787,0.99512,0.0023731835158705755,0.9993109600000001,0.00025804039993769355,0.9998073999999999,0.00016513922913712664,1.0,0.0
adult,rf,treeshap,0.05,0.984088495332041,0.007762626483635425,0.9869992458763195,0.001490049193628941,0.9965199746463573,0.00043460178304371977,0.9993960047312381,0.00014561353451798736,0.9999597989949749,8.98921799999961e-05
adult,rf,treeshap,0.1,0.9730506283471853,0.005944953118362597,0.9765716886942073,0.00240273221627036,0.9903723412416772,0.0008808790527183435,0.9976166455261384,0.0005032235337161297,0.9993958899252707,0.0004708363192897449
