model,method,sigma,top3_mean,top3_std,top5_mean,top5_std,spearman_mean,spearman_std,cosine_mean,cosine_std,sign5_mean,sign5_std
logreg,lime,0.1,0.7058162853294605,0.07290499301466391,0.7492595479864826,0.08535430704584306,0.6342489166219696,0.18373732125264086,0.672820286190199,0.26224753864875006,0.8569277856357418,0.1078984014252593
logreg,lime,0.25,0.6869782015029368,0.08751212604473554,0.7385234869563913,0.09805496843054273,0.6041655113305311,0.19460429018090594,0.6440381613399073,0.2777731014463142,0.8421173946421235,0.11216504176832787
logreg,lime,0.5,0.6716829751617187,0.09640215528051596,0.7318288757269455,0.1060461617500683,0.5707597130455109,0.19630373931658612,0.6192510239741057,0.24529021447511207,0.8261704262389529,0.11050580754381903
logreg,linshap,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
logreg,linshap,0.01,0.9917810518900981,0.007658987788250684,0.9932424361980056,0.005376603397962801,0.9986295250004591,0.0008607361188318715,0.9998798646361945,9.727582579626157e-05,0.9999358797192539,0.0001499141204841042
logreg,linshap,0.05,0.9630759678644982,0.024292970436221327,0.9668746785539512,0.01874699894994949,0.9892435065151295,0.007839641133327139,0.9969271736254072,0.0022768687493416474,0.9988103933052257,0.0017642433037326163
logreg,linshap,0.1,0.9344333170020402,0.03946099581821795,0.9408307967216912,0.030191804498822836,0.9717686917346147,0.019588954526424826,0.9881905337367748,0.008739436283495198,0.9939131562773388,0.006574333565101312
logreg,linshap,0.25,0.8657640370589273,0.07525643116566434,0.8834341282684336,0.060986160616478546,0.9199527022448377,0.05053151353545852,0.9474744975032893,0.0354224690905793,0.9776859692335469,0.017783216689990326
logreg,linshap,0.5,0.7858033435732107,0.10383156378946448,0.8213730829789873,0.09576050957459853,0.8390706786157803,0.09103000083340582,0.8638871643280907,0.07917488641217588,0.948394719041384,0.030197535795978676
mlp,ig,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
mlp,ig,0.01,0.9893259778620148,0.005500912052180703,0.9881005099002041,0.005286493811626269,0.9965472665289387,0.0031443000066429055,0.9997895973074604,0.00016272691711825897,0.9998398798317355,0.0003831931644980351
mlp,ig,0.05,0.9545519948657487,0.021506600416339467,0.9522557743696748,0.01872588041463945,0.9828426081891014,0.012713596641223027,0.9961740537668295,0.002655274564187367,0.9981985949099534,0.0034964611640223475
mlp,ig,0.1,0.916521098701901,0.032887100818455306,0.9181325593895302,0.03310919696648794,0.9603743126140881,0.027135385090655512,0.9867668537244443,0.008720901865685481,0.9931589865841005,0.009694643698910953
mlp,ig,0.25,0.8214824467980231,0.06905295213307215,0.84041935111351,0.06802462972232336,0.8875589941670605,0.06992534220621123,0.9386921647911818,0.03649196392945174,0.9739379161167178,0.024229701159628556
mlp,ig,0.5,0.7037359118770766,0.10265583468008578,0.7540208474889367,0.10255131339240214,0.7761490040838147,0.12006636831645186,0.8337771236441738,0.08207191816939975,0.9332872155956842,0.049040638893566336
mlp,lime,0.0,0.74761388,0.06476765858520749,0.7432000000000001,0.07312546296149745,0.7903971599999999,0.07974552415949959,0.8746844,0.06736725971432014,0.9365600000000001,0.03678097334220505
mlp,lime,0.01,0.7228119617670683,0.08280131806921062,0.729029140562249,0.09040773132088312,0.6737651102971887,0.1594739654706646,0.7043698840803212,0.2300044085773839,0.8880632289156627,0.07153467906435437
mlp,lime,0.05,0.7154687133648087,0.08045358268823206,0.7263897047360023,0.09013499137935219,0.6657838928804343,0.15694451479728733,0.7007867011321162,0.22314575949820023,0.8839827056446647,0.07162856085346277
mlp,lime,0.1,0.7061244315430829,0.08040374337973875,0.7219084470499384,0.09076984580521412,0.6543612983894326,0.15855652842357404,0.6964884414055752,0.2152229745137415,0.8762794088374674,0.07416630846349737
